BioSample_s	Experiment_s	MBases_l	MBytes_l	run	SRA_Sample_s	Sample_Name_s	Sex_s	mouse_genotype_s	tissue_origin_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	mouse_background_s	source_name_s
SAMN03198321	SRX761177	8778	6350	SRR1654626	SRS745715	GSM1546444	female	wild-type	pancreatic ducts from histologically confirmed normal pancreas	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198324	SRX761178	6935	5027	SRR1654627	SRS745716	GSM1546445	female	wild-type	pancreatic ducts from histologically confirmed normal pancreas	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198325	SRX761179	10419	7495	SRR1654628	SRS745717	GSM1546446	male	wild-type	pancreatic ducts from histologically confirmed normal pancreas	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198319	SRX761180	14123	10031	SRR1654629	SRS745718	GSM1546447	male	wild-type	pancreatic ducts from histologically confirmed normal pancreas	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198322	SRX761181	12428	8803	SRR1654630	SRS745719	GSM1546448	female	wild-type	pancreatic ducts from histologically confirmed normal pancreas	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198323	SRX761182	15873	11575	SRR1654631	SRS745720	GSM1546449	female	wild-type	pancreatic ducts from histologically confirmed normal pancreas	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198320	SRX761183	13960	10054	SRR1654632	SRS745721	GSM1546450	female	wild-type	pancreatic ducts from histologically confirmed normal pancreas	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198329	SRX761184	12119	8802	SRR1654633	SRS745722	GSM1546451	female	KrasLSL-G12D; Pdx1-Cre	pancreatic ducts from histologically confirmed mPanIN-containing pancreas	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198326	SRX761185	10844	7907	SRR1654634	SRS745723	GSM1546452	female	KrasLSL-G12D; Pdx1-Cre	pancreatic ducts from histologically confirmed mPanIN-containing pancreas	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198336	SRX761186	10682	7650	SRR1654635	SRS745724	GSM1546453	female	KrasLSL-G12D; Pdx1-Cre	pancreatic ducts from histologically confirmed mPanIN-containing pancreas	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198332	SRX761187	11692	8350	SRR1654636	SRS745725	GSM1546454	male	KrasLSL-G12D; Pdx1-Cre	pancreatic ducts from histologically confirmed mPanIN-containing pancreas	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198334	SRX761188	12566	9151	SRR1654637	SRS745726	GSM1546455	male	KrasLSL-G12D; Pdx1-Cre	pancreatic ducts from histologically confirmed mPanIN-containing pancreas	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198328	SRX761189	13565	9826	SRR1654638	SRS745727	GSM1546456	male	KrasLSL-G12D; Pdx1-Cre	pancreatic ducts from histologically confirmed mPanIN-containing pancreas	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198330	SRX761190	14608	10637	SRR1654639	SRS745728	GSM1546457	male	KrasLSL-G12D; Trp53LSL-R172H; Pdx1-Cre	histologically confirmed mouse pancreatic adenocarcinoma	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198337	SRX761191	11711	8342	SRR1654640	SRS745729	GSM1546458	male	KrasLSL-G12D; Trp53LSL-R172H; Pdx1-Cre	histologically confirmed mouse pancreatic adenocarcinoma	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198335	SRX761192	12588	8978	SRR1654641	SRS745730	GSM1546459	male	KrasLSL-G12D; Trp53LSL-R172H; Pdx1-Cre	histologically confirmed mouse pancreatic adenocarcinoma	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198327	SRX761193	12166	8681	SRR1654642	SRS745731	GSM1546460	female	KrasLSL-G12D; Trp53LSL-R172H; Pdx1-Cre	histologically confirmed mouse pancreatic adenocarcinoma	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198333	SRX761194	14247	10158	SRR1654643	SRS745732	GSM1546461	female	KrasLSL-G12D; Trp53LSL-R172H; Pdx1-Cre	histologically confirmed mouse pancreatic adenocarcinoma	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
SAMN03198331	SRX761195	15366	11130	SRR1654644	SRS745733	GSM1546462	female	KrasLSL-G12D; Trp53LSL-R172H; Pdx1-Cre	histologically confirmed mouse pancreatic adenocarcinoma	RNA-Seq	202	PRJNA267576	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11/17/14	Mus musculus	ILLUMINA	12/30/14	SRP049959	C57B6/J	3D organoid cell line
