sample.id	num.tech.reps	strain	experiment.number	lane.number	run
SRX033480	1	C57BL/6J	6	1	SRR099230
SRX033488	1	C57BL/6J	7	1	SRR099237
SRX033481	1	C57BL/6J	6	2	SRR099231
SRX033489	1	C57BL/6J	7	2	SRR099238
SRX033482	1	C57BL/6J	6	3	SRR099232
SRX033490	1	C57BL/6J	7	3	SRR099239
SRX033483	1	C57BL/6J	6	5	SRR099233	
SRX033476	1	C57BL/6J	4	6	SRR099227
SRX033478	1	C57BL/6J	4	7	SRR099228
SRX033479	1	C57BL/6J	4	8	SRR099229
SRX033472	1	DBA/2J	4	1	SRR099223
SRX033473	1	DBA/2J	4	2	SRR099224
SRX033474	1	DBA/2J	4	3	SRR099225
SRX033475	1	DBA/2J	4	5	SRR099226
SRX033491	1	DBA/2J	7	5	SRR099240
SRX033484	1	DBA/2J	6	6	SRR099234
SRX033492	1	DBA/2J	7	6	SRR099241
SRX033485	1	DBA/2J	6	7	SRR099235
SRX033493	1	DBA/2J	7	7	SRR099242
SRX033486	1	DBA/2J	6	8	SRR099236
SRX033494	1	DBA/2J	7	8	SRR099243
