BioSample_s	Experiment_s	Library_Name_s	MBases_l	MBytes_l	run	SRA_Sample_s	Sample_Name_s	condition	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN00139601	SRX033472	D2_1_4_lib	1207	596	SRR099223	SRS140384	D2_1_4	D2	<not provided>	PRJNA79859	OHSU	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2014-05-30	Mus musculus	ILLUMINA	2011-03-24	SRP004777	<not provided>	<not provided>	<not provided>
SAMN00139602	SRX033473	D2_2_4_lib	1451	720	SRR099224	SRS140385	D2_2_4	D2	<not provided>	PRJNA79859	OHSU	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2014-05-30	Mus musculus	ILLUMINA	2011-03-24	SRP004777	<not provided>	<not provided>	<not provided>
SAMN00139603	SRX033474	D2_3_4_lib	1132	552	SRR099225	SRS140386	D2_3_4	D2	<not provided>	PRJNA79859	OHSU	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2014-05-30	Mus musculus	ILLUMINA	2011-03-24	SRP004777	<not provided>	<not provided>	<not provided>
SAMN00139604	SRX033475	D2_5_4_lib	1142	530	SRR099226	SRS140387	D2_5_4	D2	<not provided>	PRJNA79859	OHSU	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2014-05-30	Mus musculus	ILLUMINA	2011-03-24	SRP004777	<not provided>	<not provided>	<not provided>
SAMN00139605	SRX033476	B6_6_4_lib	1583	747	SRR099227	SRS140388	B6_6_4	B6	<not provided>	PRJNA79859	OHSU	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2014-05-30	Mus musculus	ILLUMINA	2011-03-24	SRP004777	<not provided>	<not provided>	<not provided>
SAMN00139606	SRX033478	B6_7_4_lib	1554	719	SRR099228	SRS140389	B6_7_4	B6	<not provided>	PRJNA79859	OHSU	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2014-05-30	Mus musculus	ILLUMINA	2011-03-24	SRP004777	<not provided>	<not provided>	<not provided>
SAMN00139607	SRX033479	B6_8_4_lib	1264	600	SRR099229	SRS140390	B6_8_4	B6	<not provided>	PRJNA79859	OHSU	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2014-05-30	Mus musculus	ILLUMINA	2011-03-24	SRP004777	<not provided>	<not provided>	<not provided>
SAMN00139608	SRX033480	B6_1_6_lib	1114	653	SRR099230	SRS140391	B6_1_6	B6	<not provided>	PRJNA79859	OHSU	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2014-05-30	Mus musculus	ILLUMINA	2011-03-24	SRP004777	<not provided>	<not provided>	<not provided>
SAMN00139609	SRX033481	B6_2_6_lib	1012	581	SRR099231	SRS140392	B6_2_6	B6	<not provided>	PRJNA79859	OHSU	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2014-05-30	Mus musculus	ILLUMINA	2011-03-24	SRP004777	<not provided>	<not provided>	<not provided>
SAMN00139610	SRX033482	B6_3_6_lib	1074	605	SRR099232	SRS140393	B6_3_6	B6	<not provided>	PRJNA79859	OHSU	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2014-05-30	Mus musculus	ILLUMINA	2011-03-24	SRP004777	<not provided>	<not provided>	<not provided>
