BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	Sample_type_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMEA1027576	ERX011369	10N	5/31/14	5928	4101	3/23/12	ERR031017	ERS025246	E-MTAB-567:10N	normal	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027581	ERX011370	10T	5/31/14	5837	4102	3/23/12	ERR031018	ERS025234	E-MTAB-567:10T	tumor	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027569	ERX011347	11N	5/31/14	6222	4413	3/23/12	ERR031019	ERS025232	E-MTAB-567:11N	normal	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027587	ERX011351	12T	5/31/14	6320	4522	3/23/12	ERR031022	ERS025236	E-MTAB-567:12T	tumor	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027578	ERX011358	13N	5/31/14	5363	3727	3/23/12	ERR031023	ERS025243	E-MTAB-567:13N	normal	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027586	ERX011359	13T	5/31/14	6450	4523	3/23/12	ERR031024	ERS025248	E-MTAB-567:13T	tumor	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027564	ERX011367	14N	5/31/14	5822	3935	3/23/12	ERR031025	ERS025245	E-MTAB-567:14N	normal	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027566	ERX011366	14T	5/31/14	6331	4293	3/23/12	ERR031026	ERS025223	E-MTAB-567:14T	tumor	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027575	ERX011371	1N	5/31/14	6203	4294	3/23/12	ERR031027	ERS025241	E-MTAB-567:1N	normal	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027571	ERX011354	1T	5/31/14	5695	3965	3/23/12	ERR031028	ERS025240	E-MTAB-567:1T	tumor	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027585	ERX011368	2N	5/31/14	6099	4310	3/23/12	ERR031029	ERS025244	E-MTAB-567:2N	normal	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027579	ERX011363	2T	5/31/14	5542	3967	3/23/12	ERR031030	ERS025222	E-MTAB-567:2T	tumor	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
