BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	source_name_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	cell_type_s	g1k_analysis_group_s	g1k_pop_code_s	origin_s	source_s	strain_s	tissue_s
SAMN03775112	SRX1058387	1353	857	SRR2062540	SRS960752	GSM1711521	intra-abdominal neuroblastoma_vehicle	RNA-Seq	<not provided>	PRJNA287006	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-06-15	Mus musculus	ILLUMINA	2015-07-15	SRP059492	entire tumor composition: tumor cells+ stroma cells	<not provided>	<not provided>	Transgenic TH-MYCN neuroblastoma	<not provided>	TH-MYCN	neuroblastoma
SAMN03775112	SRX1058387	1349	858	SRR2062541	SRS960752	GSM1711521	intra-abdominal neuroblastoma_vehicle	RNA-Seq	<not provided>	PRJNA287006	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-06-15	Mus musculus	ILLUMINA	2015-07-15	SRP059492	entire tumor composition: tumor cells+ stroma cells	<not provided>	<not provided>	Transgenic TH-MYCN neuroblastoma	<not provided>	TH-MYCN	neuroblastoma
SAMN03775113	SRX1058388	1272	802	SRR2062542	SRS960751	GSM1711522	intra-abdominal neuroblastoma_vehicle	RNA-Seq	<not provided>	PRJNA287006	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-06-15	Mus musculus	ILLUMINA	2015-07-15	SRP059492	entire tumor composition: tumor cells+ stroma cells	<not provided>	<not provided>	Transgenic TH-MYCN neuroblastoma	<not provided>	TH-MYCN	neuroblastoma
SAMN03775113	SRX1058388	1268	802	SRR2062543	SRS960751	GSM1711522	intra-abdominal neuroblastoma_vehicle	RNA-Seq	<not provided>	PRJNA287006	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-06-15	Mus musculus	ILLUMINA	2015-07-15	SRP059492	entire tumor composition: tumor cells+ stroma cells	<not provided>	<not provided>	Transgenic TH-MYCN neuroblastoma	<not provided>	TH-MYCN	neuroblastoma
SAMN03775114	SRX1058389	1367	862	SRR2062544	SRS960748	GSM1711523	intra-abdominal neuroblastoma_vehicle	RNA-Seq	<not provided>	PRJNA287006	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-06-15	Mus musculus	ILLUMINA	2015-07-15	SRP059492	entire tumor composition: tumor cells+ stroma cells	<not provided>	<not provided>	Transgenic TH-MYCN neuroblastoma	<not provided>	TH-MYCN	neuroblastoma
SAMN03775114	SRX1058389	1365	863	SRR2062545	SRS960748	GSM1711523	intra-abdominal neuroblastoma_vehicle	RNA-Seq	<not provided>	PRJNA287006	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-06-15	Mus musculus	ILLUMINA	2015-07-15	SRP059492	entire tumor composition: tumor cells+ stroma cells	<not provided>	<not provided>	Transgenic TH-MYCN neuroblastoma	<not provided>	TH-MYCN	neuroblastoma
SAMN03775115	SRX1058390	1323	839	SRR2062546	SRS960749	GSM1711524	intra-abdominal neuroblastoma_vehicle	RNA-Seq	<not provided>	PRJNA287006	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-06-15	Mus musculus	ILLUMINA	2015-07-15	SRP059492	entire tumor composition: tumor cells+ stroma cells	<not provided>	<not provided>	Transgenic TH-MYCN neuroblastoma	<not provided>	TH-MYCN	neuroblastoma
SAMN03775115	SRX1058390	1318	838	SRR2062547	SRS960749	GSM1711524	intra-abdominal neuroblastoma_vehicle	RNA-Seq	<not provided>	PRJNA287006	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-06-15	Mus musculus	ILLUMINA	2015-07-15	SRP059492	entire tumor composition: tumor cells+ stroma cells	<not provided>	<not provided>	Transgenic TH-MYCN neuroblastoma	<not provided>	TH-MYCN	neuroblastoma
SAMN03775116	SRX1058391	1264	800	SRR2062548	SRS960750	GSM1711525	intra-abdominal neuroblastoma_panobinostat	RNA-Seq	<not provided>	PRJNA287006	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-06-15	Mus musculus	ILLUMINA	2015-07-15	SRP059492	entire tumor composition: tumor cells+ stroma cells	<not provided>	<not provided>	Transgenic TH-MYCN neuroblastoma	<not provided>	TH-MYCN	neuroblastoma
SAMN03775116	SRX1058391	1259	800	SRR2062549	SRS960750	GSM1711525	intra-abdominal neuroblastoma_panobinostat	RNA-Seq	<not provided>	PRJNA287006	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	2015-06-15	Mus musculus	ILLUMINA	2015-07-15	SRP059492	entire tumor composition: tumor cells+ stroma cells	<not provided>	<not provided>	Transgenic TH-MYCN neuroblastoma	<not provided>	TH-MYCN	neuroblastoma
