BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	run	SRA_Sample_s	Sample_Name_s	sex_s	source_name_s	tissue_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s	strain_s
SAMN02642886	SRX471368	2014-02-14	815	608	SRR1169893	SRS558114	GSM1328469	F	Adrenal	Adrenal	RNA-Seq	<not provided>	PRJNA238328	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	<not provided>	Rattus norvegicus	ILLUMINA	2014-06-20	SRP037986	<not provided>	<not provided>	<not provided>	Fisher 344
SAMN02642886	SRX471368	2014-02-14	753	567	SRR1169894	SRS558114	GSM1328469	F	Adrenal	Adrenal	RNA-Seq	<not provided>	PRJNA238328	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	<not provided>	Rattus norvegicus	ILLUMINA	2014-06-20	SRP037986	<not provided>	<not provided>	<not provided>	Fisher 344
SAMN02642867	SRX471369	2014-02-14	837	634	SRR1169895	SRS558115	GSM1328470	F	Adrenal	Adrenal	RNA-Seq	<not provided>	PRJNA238328	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	<not provided>	Rattus norvegicus	ILLUMINA	2014-06-20	SRP037986	<not provided>	<not provided>	<not provided>	Fisher 344
SAMN02642867	SRX471369	2014-02-14	794	606	SRR1169896	SRS558115	GSM1328470	F	Adrenal	Adrenal	RNA-Seq	<not provided>	PRJNA238328	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	<not provided>	Rattus norvegicus	ILLUMINA	2014-06-20	SRP037986	<not provided>	<not provided>	<not provided>	Fisher 344
SAMN02642894	SRX471370	2014-02-14	969	705	SRR1169897	SRS558116	GSM1328471	F	Adrenal	Adrenal	RNA-Seq	<not provided>	PRJNA238328	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	<not provided>	Rattus norvegicus	ILLUMINA	2014-06-20	SRP037986	<not provided>	<not provided>	<not provided>	Fisher 344
SAMN02642894	SRX471370	2014-02-14	954	691	SRR1169898	SRS558116	GSM1328471	F	Adrenal	Adrenal	RNA-Seq	<not provided>	PRJNA238328	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	<not provided>	Rattus norvegicus	ILLUMINA	2014-06-20	SRP037986	<not provided>	<not provided>	<not provided>	Fisher 344
SAMN02642891	SRX471371	2014-02-14	842	635	SRR1169899	SRS558117	GSM1328472	F	Adrenal	Adrenal	RNA-Seq	<not provided>	PRJNA238328	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	<not provided>	Rattus norvegicus	ILLUMINA	2014-06-20	SRP037986	<not provided>	<not provided>	<not provided>	Fisher 344
SAMN02642891	SRX471371	2014-02-14	976	726	SRR1169900	SRS558117	GSM1328472	F	Adrenal	Adrenal	RNA-Seq	<not provided>	PRJNA238328	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	<not provided>	Rattus norvegicus	ILLUMINA	2014-06-20	SRP037986	<not provided>	<not provided>	<not provided>	Fisher 344
SAMN02642869	SRX471372	2014-02-14	1006	720	SRR1169901	SRS558118	GSM1328473	F	Adrenal	Adrenal	RNA-Seq	<not provided>	PRJNA238328	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	<not provided>	Rattus norvegicus	ILLUMINA	2014-06-20	SRP037986	<not provided>	<not provided>	<not provided>	Fisher 344
SAMN02642869	SRX471372	2014-02-14	1003	713	SRR1169902	SRS558118	GSM1328473	F	Adrenal	Adrenal	RNA-Seq	<not provided>	PRJNA238328	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	<not provided>	Rattus norvegicus	ILLUMINA	2014-06-20	SRP037986	<not provided>	<not provided>	<not provided>	Fisher 344
SAMN02642897	SRX471373	2014-02-14	909	684	SRR1169903	SRS558119	GSM1328474	F	Adrenal	Adrenal	RNA-Seq	<not provided>	PRJNA238328	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	<not provided>	Rattus norvegicus	ILLUMINA	2014-06-20	SRP037986	<not provided>	<not provided>	<not provided>	Fisher 344
SAMN02642897	SRX471373	2014-02-14	1047	776	SRR1169904	SRS558119	GSM1328474	F	Adrenal	Adrenal	RNA-Seq	<not provided>	PRJNA238328	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	<not provided>	Rattus norvegicus	ILLUMINA	2014-06-20	SRP037986	<not provided>	<not provided>	<not provided>	Fisher 344
SAMN02642892	SRX471374	2014-02-14	1091	827	SRR1169905	SRS558120	GSM1328475	F	Adrenal	Adrenal	RNA-Seq	<not provided>	PRJNA238328	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	<not provided>	Rattus norvegicus	ILLUMINA	2014-06-20	SRP037986	<not provided>	<not provided>	<not provided>	Fisher 344
SAMN02642892	SRX471374	2014-02-14	937	712	SRR1169906	SRS558120	GSM1328475	F	Adrenal	Adrenal	RNA-Seq	<not provided>	PRJNA238328	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	<not provided>	Rattus norvegicus	ILLUMINA	2014-06-20	SRP037986	<not provided>	<not provided>	<not provided>	Fisher 344
SAMN02642872	SRX471375	2014-02-14	870	630	SRR1169907	SRS558121	GSM1328476	F	Adrenal	Adrenal	RNA-Seq	<not provided>	PRJNA238328	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	<not provided>	Rattus norvegicus	ILLUMINA	2014-06-20	SRP037986	<not provided>	<not provided>	<not provided>	Fisher 344
